genotypes	doi	status	trial	blumeria_graminis	heading_date	lodging	plant_height	puccinia_hordei	pyrenophora_teres	ramularia_collo_cygni	rhynchosporium
HOR 15384	10.25642/IPK/GBIS/246047	PGR	spring	4.408071506	73.08667753	4.832225047	90.53223812	4.934323666	1.749908745	3.894886322	1.347090622
HOR 15390	10.25642/IPK/GBIS/231343	PGR	spring	5.237206111	66.88384025	3.103622643	92.25907558	5.856312	1.397216809	3.855620725	1.342828272
HOR 15401	10.25642/IPK/GBIS/246360	PGR	spring	3.350073339	66.86742594	5.850636111	89.99475165	5.074007487	1.729820092	3.627686052	1.343290102
HOR 15405	10.25642/IPK/GBIS/259180	PGR	spring	5.10572123	69.41512041	3.006257964	101.2149781	4.800183115	1.756459976	2.136632229	1.343290102
HOR 15412	10.25642/IPK/GBIS/246622	PGR	spring	2.260962592	66.16265597	4.260302407	88.41866461	4.848370155	1.395908081	3.204825077	1.34529899
HOR 15423	10.25642/IPK/GBIS/254613	PGR	spring	4.110758686	70.69853541	5.526556033	101.4455263	5.71047576	2.070924647	3.19596072	1.347981651
HOR 15465	10.25642/IPK/GBIS/257247	PGR	spring	4.798073378	72.56203757	3.194702075	103.2295644	5.087022338	1.374598635	1.897774277	1.329598578
HOR 15546	10.25642/IPK/GBIS/259330	PGR	spring	4.959153868	67.34999015	5.683728864	82.49330603	4.127803289	1.693139426	4.85067705	1.342040205
HOR 15549	10.25642/IPK/GBIS/259316	PGR	spring	3.641454816	70.07040908	4.633772031	86.98784999	4.922041341	1.790436971	4.392169051	1.872196484
HOR 15553	10.25642/IPK/GBIS/258891	PGR	spring	4.141635804	69.937545	4.245684852	97.91399361	4.82250767	2.061454148	4.095418006	1.345010008
HOR 15562	10.25642/IPK/GBIS/246663	PGR	spring	4.86279032	65.84904188	5.475448767	90.85053973	5.326418857	2.060614029	3.86799669	1.345221174
HOR 15692	10.25642/IPK/GBIS/259225	PGR	spring	4.216600178	67.2799696	4.37683697	97.86645237	5.656986911	1.392716205	2.884306008	1.344003723
HOR 15704	10.25642/IPK/GBIS/240953	PGR	spring	3.849773986	70.11400845	2.696504545	92.06027526	5.602496487	2.395320058	6.598511048	1.343661201
HOR 15758	10.25642/IPK/GBIS/229326	PGR	spring	4.956999528	63.84659883	4.02266556	86.87349	5.720915105	2.719817223	3.463569664	1.346664439
HOR 15773	10.25642/IPK/GBIS/231382	PGR	spring	2.440978639	69.25919539	5.111301742	80.01782359	5.050148355	1.772146727	5.414865704	1.324382238
HOR 15778	10.25642/IPK/GBIS/234823	PGR	spring	4.702881793	71.25587222	5.539852746	94.78277458	4.6183157	2.397053221	3.388154499	1.34599483
HOR 15788	10.25642/IPK/GBIS/231363	PGR	spring	4.554219439	69.22726685	6.872117552	91.63196399	6.028429495	2.062248595	2.557460867	1.404285801
HOR 1581	10.25642/IPK/GBIS/17731	PGR	spring	3.253718608	70.60567069	4.183703762	98.27207117	4.043158845	1.696336962	4.419656093	1.346689537
HOR 15818	10.25642/IPK/GBIS/240482	PGR	spring	4.467081127	72.15576955	5.181903053	93.9112139	5.538998703	2.378338314	3.726341105	1.330384449
HOR 15821	10.25642/IPK/GBIS/244222	PGR	spring	3.569373326	75.47829556	3.775652065	101.8603085	3.386979033	1.750447836	2.247824888	1.346685288
HOR 15840	10.25642/IPK/GBIS/229426	PGR	spring	6.097746394	69.02323276	5.821299645	100.3548018	3.921671116	2.396134906	3.815346786	1.32789758
HOR 15841	10.25642/IPK/GBIS/257761	PGR	spring	5.392107042	68.90974081	4.327894254	102.3658083	3.857271585	1.515831689	3.835370751	1.319540847
HOR 15857	10.25642/IPK/GBIS/240484	PGR	spring	4.427849306	75.69213077	3.582551394	105.7532843	3.435175658	1.708092025	3.506211748	1.376770695
HOR 15860	10.25642/IPK/GBIS/234822	PGR	spring	3.84279713	66.02107783	4.351011006	80.9252771	4.965261045	1.739197582	4.869271382	1.34529899
HOR 15871	10.25642/IPK/GBIS/234818	PGR	spring	3.260197683	73.40545811	4.872841609	83.24132617	4.223525895	1.752429073	2.914906526	1.345955249
HOR 15884	10.25642/IPK/GBIS/258903	PGR	spring	3.570921944	76.11240967	3.978956337	99.30898653	3.455699374	4.268350485	2.00274482	1.347090622
HOR 15886	10.25642/IPK/GBIS/240888	PGR	spring	4.706338199	71.16120997	3.620595705	106.986275	5.647607553	2.066173794	3.087213814	1.344116137
HOR 15887	10.25642/IPK/GBIS/261818	PGR	spring	4.133519633	70.77944106	4.329065778	99.85758039	4.703847485	2.069125343	3.75312319	1.345164609
HOR 15889	10.25642/IPK/GBIS/246354	PGR	spring	4.826196289	69.63841101	4.806399323	94.11243585	4.19960416	1.739202458	2.946496284	1.346448141
HOR 15890	10.25642/IPK/GBIS/246347	PGR	spring	4.355886165	66.8033324	4.707846935	86.16494672	4.751856953	2.739827406	5.71286631	1.345987229
HOR 15894	10.25642/IPK/GBIS/234745	PGR	spring	3.956880334	76.24116334	3.498895966	94.5381267	3.904698802	2.381459182	2.721500554	1.376770695
HOR 15895	10.25642/IPK/GBIS/231281	PGR	spring	5.260171874	65.3672869	5.523333581	90.87429799	4.969817642	1.406901399	4.736381382	1.34599483
HOR 15898	10.25642/IPK/GBIS/258854	PGR	spring	3.644976323	70.58184502	4.719864731	94.17872961	3.625439002	1.383898222	4.937605208	1.346689537
HOR 15905	10.25642/IPK/GBIS/246341	PGR	spring	5.675513712	70.06940976	5.361344724	97.49081831	4.669522589	1.742681084	1.675700747	1.344630982
HOR 15908	10.25642/IPK/GBIS/231331	PGR	spring	5.53101205	68.80476808	5.562203652	87.52455273	4.134243211	2.086752512	4.26409092	3.343199505
HOR 15915	10.25642/IPK/GBIS/231353	PGR	spring	4.393923556	69.03168267	4.915984247	101.5743995	5.12332523	1.727782487	3.038330779	1.344116137
